model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features,Scenario
Decision Tree,False,True,0.999760000299949,0.9997601190399856,0.999760000299949,0.999760000285288,"[41, 67, 77]",mutual_info,3,"anonymized train
not anonymized test"
Decision Tree,False,False,1.0,1.0,1.0,1.0,"[41, 67, 77]",mutual_info,3,"not anonymized train
not anonymized test"
Random Forest,True,True,0.999760000299949,0.9997601190399856,0.999760000299949,0.999760000285288,"[8, 41, 55, 67, 77]",mutual_info,5,"anonymized train
anonymized test"
Random Forest,True,False,0.999649999199938,0.9996500717602248,0.999649999199938,0.9996499991900292,"[8, 10, 41, 67, 77]",mutual_info,5,"not anonymized train
anonymized test"
Random Forest,False,True,0.999760000299949,0.9997601190399856,0.999760000299949,0.999760000285288,"[8, 41, 67, 77]",mutual_info,4,"anonymized train
not anonymized test"
Random Forest,False,False,1.0,1.0,1.0,1.0,"[8, 41, 67, 77]",mutual_info,4,"not anonymized train
not anonymized test"
GaussianNB,True,True,0.9217197076872672,0.9327543097563388,0.9217197076872672,0.9211473016140942,"[41, 67, 77]",mutual_info,3,"anonymized train
anonymized test"
GaussianNB,True,False,0.999170001299821,0.9991702223134524,0.999170001299821,0.9991700012026218,"[0, 1, 3, 4, 6, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 30, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 49, 54, 55, 64, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,45,"not anonymized train
anonymized test"
GaussianNB,False,True,0.8331583342832888,0.7498250981729827,0.8331583342832888,0.7776033343208967,"[41, 67, 77]",mutual_info,3,"anonymized train
not anonymized test"
GaussianNB,False,False,0.9996899998999388,0.9996900988420624,0.9996899998999388,0.9996899998858992,"[1, 3, 6, 8, 10, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 38, 41, 42, 46, 54, 55, 64, 67, 70, 75, 76, 77, 78]",mutual_info,30,"not anonymized train
not anonymized test"
Mutilayer Perceptron,True,True,0.999760000299949,0.9997601190399856,0.999760000299949,0.999760000285288,"[41, 67, 77]",mutual_info,3,"anonymized train
anonymized test"
Mutilayer Perceptron,True,False,0.8680111637619645,0.9054763733458392,0.8680111637619645,0.8616694249429028,"[10, 41, 67, 77]",mutual_info,4,"not anonymized train
anonymized test"
Mutilayer Perceptron,False,True,0.8331583342832888,0.7498250981729827,0.8331583342832888,0.7776033343208967,"[8, 41, 67, 77]",mutual_info,4,"anonymized train
not anonymized test"
Mutilayer Perceptron,False,False,0.999980000099995,0.9999800012998932,0.999980000099995,0.999980000099968,"[3, 6, 8, 10, 16, 17, 18, 19, 20, 22, 23, 24, 25, 38, 41, 42, 46, 54, 55, 64, 67, 75, 76, 77, 78]",mutual_info,25,"not anonymized train
not anonymized test"
