model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
Decision Tree,True,False,0.6411414114141142,0.6110859674454293,0.6411414114141142,0.5713725206108872,"[1, 45, 46, 47, 76]",anova,5
Decision Tree,False,True,0.591590555612762,0.5154943264563548,0.591590555612762,0.5318665688614164,"[1, 45, 46, 47, 76]",anova,5
Decision Tree,False,False,0.999620002799896,0.999620320437422,0.999620002799896,0.9996200027113403,"[1, 45, 46, 47, 76]",anova,5
Random Forest,True,True,0.5480184429251744,0.5783963845153038,0.5480184429251744,0.5266870417725112,"[1, 45, 46, 47, 76]",anova,5
Random Forest,True,False,0.6342833209936467,0.6247582083213966,0.6342833209936467,0.6069032957851909,"[1, 45, 46, 47, 76]",anova,5
Random Forest,False,True,0.4904921926761716,0.41259700063617233,0.4904921926761716,0.406400960219365,"[1, 45, 46, 47, 76]",anova,5
Random Forest,False,False,0.999620002799896,0.999620320437422,0.999620002799896,0.9996200027113403,"[1, 45, 46, 47, 76]",anova,5
GaussianNB,True,True,0.720781209732059,0.8005060642461771,0.720781209732059,0.6917866647671517,"[1, 45, 46, 47, 76]",anova,5
GaussianNB,True,False,0.560210593406108,0.7683225021669332,0.560210593406108,0.4373402244605898,"[1, 45, 46, 47, 76]",anova,5
GaussianNB,False,True,0.5989309893098931,0.44821985627273037,0.5989309893098931,0.4853827402068553,"[1, 45, 46, 47, 76]",anova,5
GaussianNB,False,False,0.994979974699249,0.9950359907793223,0.994979974699249,0.9949798035234378,"[1, 45, 46, 47, 76]",anova,5
Mutilayer Perceptron,True,True,0.5696795451184847,0.5689653470098436,0.5696795451184847,0.4743243756019677,"[1, 45, 46, 47, 76]",anova,5
