model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
Mutilayer Perceptron,True,True,0.8918202006763573,0.9001641430990195,0.8918202006763573,0.8911968025142961,"[75, 76, 77, 78]",chi2,4
Mutilayer Perceptron,True,False,0.988050108796522,0.9884297737441251,0.988050108796522,0.9880459129559253,"[75, 76, 77, 78]",chi2,4
Mutilayer Perceptron,False,True,0.9382000641869981,0.9450595535500561,0.9382000641869981,0.9378206023103933,"[75, 76, 77, 78]",chi2,4
Mutilayer Perceptron,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[75, 76, 77, 78]",chi2,4
KNN,True,True,0.8992689929899239,0.9222494565497037,0.8992689929899239,0.8960999400682165,"[27, 75, 76, 77, 78]",chi2,5
KNN,True,False,0.841738750980838,0.8660982423516264,0.841738750980838,0.8374547043926951,"[27, 75, 76, 77, 78]",chi2,5
KNN,False,True,0.6620198934334697,0.7418768164215929,0.6620198934334697,0.6245263621774565,"[27, 75, 76, 77, 78]",chi2,5
KNN,False,False,0.9999399999999881,0.9999400119977805,0.9999399999999881,0.9999399999994839,"[27, 75, 76, 77, 78]",chi2,5
Decision Tree,True,True,0.7321003398430217,0.827519394978942,0.7321003398430217,0.6980097987402445,"[27, 75, 76, 77, 78]",chi2,5
Decision Tree,True,False,0.8942621102577499,0.9182227475331014,0.8942621102577499,0.8862609364181665,"[27, 75, 76, 77, 78]",chi2,5
Decision Tree,False,True,0.8905019223588768,0.9233793728360511,0.8905019223588768,0.8814736253599796,"[27, 75, 76, 77, 78]",chi2,5
Decision Tree,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[27, 75, 76, 77, 78]",chi2,5
Random Forest,True,True,0.8475095088744132,0.868463205175582,0.8475095088744132,0.8444817613186343,"[27, 75, 76, 77, 78]",chi2,5
Random Forest,True,False,0.8948999458795214,0.911720445645707,0.8948999458795214,0.8924497692492764,"[27, 75, 76, 77, 78]",chi2,5
Random Forest,False,True,0.8496295315746102,0.8807840197441807,0.8496295315746102,0.8404458742166742,"[27, 75, 76, 77, 78]",chi2,5
Random Forest,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[27, 75, 76, 77, 78]",chi2,5
GaussianNB,True,True,0.7598879099728778,0.853690919942081,0.7598879099728778,0.7290045108759093,"[27, 75, 76, 77, 78]",chi2,5
GaussianNB,True,False,0.7488313534362319,0.8513509314267598,0.7488313534362319,0.7110286920453146,"[27, 75, 76, 77, 78]",chi2,5
GaussianNB,False,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[27, 75, 76, 77, 78]",chi2,5
GaussianNB,False,False,0.7204901346427516,0.7813771958944637,0.7204901346427516,0.7044242415968353,"[27, 75, 76, 77, 78]",chi2,5
Mutilayer Perceptron,True,True,0.9778700366952071,0.9787922967462421,0.9778700366952071,0.9778587566789726,"[27, 75, 76, 77, 78]",chi2,5
Mutilayer Perceptron,True,False,0.91543945378855,0.9249309587233135,0.91543945378855,0.9148130945948311,"[27, 75, 76, 77, 78]",chi2,5
Mutilayer Perceptron,False,True,0.6309693264329296,0.6240779687617641,0.6309693264329296,0.5548724386519145,"[27, 75, 76, 77, 78]",chi2,5
Mutilayer Perceptron,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[27, 75, 76, 77, 78]",chi2,5
KNN,True,True,0.7555988378627411,0.6813307174425426,0.7555988378627411,0.6994005118725376,"[27, 30, 75, 76, 77, 78]",chi2,6
