model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
GaussianNB,True,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[1, 2, 3, 19, 20, 22, 23, 24, 25, 27, 41, 45, 46, 47, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13
GaussianNB,True,False,0.9871099934974871,0.9873997473944919,0.9871099934974871,0.9871080041791772,"[1, 2, 3, 8, 10, 20, 22, 24, 25, 27, 41, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,13
GaussianNB,False,True,0.6008793633265427,0.6133464389545449,0.6008793633265427,0.5981503881284876,"[1, 2, 3, 8, 10, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 55, 64, 67, 68, 70, 75, 76, 77]",extra_trees,13
GaussianNB,False,False,0.9978099810997509,0.9978196791774699,0.9978099810997509,0.9978099657612143,"[1, 2, 3, 18, 20, 22, 24, 25, 41, 45, 46, 47, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13
Mutilayer Perceptron,True,True,0.6535086011446903,0.7696043170411281,0.6535086011446903,0.5987370317582362,"[1, 2, 3, 8, 20, 22, 24, 25, 32, 43, 45, 46, 47, 53, 54, 55, 67, 68, 70, 75, 76, 77, 78]",extra_trees,13
Mutilayer Perceptron,True,False,0.7854401472556155,0.8269998531733181,0.7854401472556155,0.7785207561526688,"[1, 2, 3, 8, 10, 22, 23, 24, 25, 32, 45, 46, 47, 68, 70, 75, 76, 77, 78]",extra_trees,13
Mutilayer Perceptron,False,True,0.5844199484173999,0.5908473493182275,0.5844199484173999,0.4946251897352969,"[1, 2, 3, 8, 18, 22, 24, 25, 27, 32, 41, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,13
Mutilayer Perceptron,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 2, 3, 12, 20, 22, 23, 24, 25, 27, 41, 45, 46, 47, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13
KNN,True,True,0.564890650406474,0.5868074812947509,0.564890650406474,0.44344916863393236,"[1, 2, 3, 18, 19, 22, 24, 25, 41, 42, 45, 46, 47, 68, 70, 75, 76, 77, 78]",extra_trees,18
KNN,True,False,0.7205192013520904,0.753382747313887,0.7205192013520904,0.7151115804295518,"[0, 1, 2, 3, 10, 18, 19, 20, 22, 23, 25, 27, 41, 42, 45, 46, 47, 67, 68, 70, 75, 76, 77, 78]",extra_trees,18
